"stage","duration","midpoint","area","dispersion","speciesN"
"Kinderhookian",11.2,353.6,70905.9092518669,5362.40446676549,144
"Osagean",8,344,50409.543630228,5985.73607934559,166
"Meramecian",7,336.5,44242.0861145043,4673.4046674481,85
"Chesterian",14.9,325.55,49170.1693231065,5082.14955220225,151
"Morrowan",6.4,314.9,94673.2986955261,6853.98707473175,183
"Atokan",3.7,309.85,114346.681376788,8561.33380655695,194
"Desmoinesian",1.5,307.25,204216.725025965,8223.55019875379,204
"Missourian",1.5,305.75,148350.056294045,6958.23333869135,202
"Virgilian",6,302,112514.851625785,6201.5547605201,216
"Wolfcampian",19,289.5,51463.6934721114,5640.07726505589,237
"Leonardian",9.4,275.3,88599.6916446008,4716.57206709196,171
"Guadalupian",10.2,265.5,51482.7589583706,3410.7672108729,170
"Lopingian",9.4,255.7,6818.48979849024,919.715755415681,123
